date,year,decision,name,mandate,occupation,commission,sector
22 April 2026,2026.0,C(2026) 9012,Janez Lenarčič,Commissioner for Crisis Management,OSCE Election Observation Mission,Other/Earlier,Int'l organisation
13 April 2026,2026.0,C(2026) 9011,Elisa Ferreira,Commissioner for  Cohesion and Reforms,Casa da Arquitectura,VdL I (2019-2024),Other
25 March 2026,2026.0,C(2026) 9010,Jutta Urpilainen,Commissioner in charge of International Partnerships,Centre for Global Development,VdL I (2019-2024),Other
4 March 2026,2026.0,C(2026) 9007,Věra Jourova,Vice-President in charge of ‘Transparency and Values’,‘Call to Action for Democracy’,VdL I (2019-2024),Other
26 February 2026,2026.0,C(2026) 9005,Věra Jourova,Vice-President in charge of ‘Transparency and Values’,European Central Bank's Ethics Committee,VdL I (2019-2024),Finance / corporate
10 February 2026,2026.0,C(2026) 9003,Věra Jourova,Vice-President in charge of ‘Transparency and Values’,Club de Madrid,VdL I (2019-2024),Think tank / advisory
29 January 2026,2026.0,C(2026) 9001,Elisa Ferreira,Commissioner in charge of ‘Cohesion and Reforms’,Foundation Oporto Football Club,VdL I (2019-2024),NGO / foundation
10 December 2025,2025.0,C(2025) 9037,Věra Jourova,Executive Vice-President in charge of ‘Transparency and Values’,Institute for Human Sciences,VdL I (2019-2024),Other
19 November 2025,2025.0,C(2025) 9036,Jutta Urpilainen,Commissioner in charge of ‘International Partnership’,European Leadership Network,VdL I (2019-2024),Think tank / advisory
12 November 2025,2025.0,C(2025) 9028,Josep Borrell i Fontelles,High Representative  of the European Union for Foreign Affairs and Security Policy / Vice-President of the,Clúster de la Industria de Defensa,VdL I (2019-2024),Other
21 October 2025,2025.0,C(2025) 9027,Stella Kyriakides,‘Health and Food Safety’,CancerWorld Magazine,VdL I (2019-2024),NGO / foundation
30 September 2025,2025.0,C(2025) 9025,Josep Borrell,High Representative / Vice-President in charge of ‘Coordinating the External Action’ ...,IE Universidad (Instituto de Empresa),VdL I (2019-2024),Academia
3 September 2025,2025.0,C(2025) 9023,Johannes Hahn,Commissioner in charge of ‘Budget and Administration’,Hahn Management & Beteiligung GmbH,VdL I (2019-2024),Consultancy / lobbying
16 July 2025,2025.0,C(2025) 9020,Jutta Urpilainen,Commissioner in charge of ‘International Partnerships’,‘Global Women Leaders Voices for Changes and Inclusion’,VdL I (2019-2024),Other
25 June 2025,2025.0,C(2025) 9019,Johannes Hahn,Commissioner in charge of ‘Budget and Administration’,European Investment Bank's 'Appointment Advisory Committee',VdL I (2019-2024),Finance / corporate
17 June 2025,2025.0,C(2025) 9016,Johannes Hahn,Commissioner in charge of ‘Budget and Administration’,Special Emissary of the Austrian Government,VdL I (2019-2024),Public / political
12 May 2025,2025.0,C(2025) 9014,Paolo Gentiloni,Commissioner in charge of ‘Economy’,TEHA Group,VdL I (2019-2024),Consultancy / lobbying
6 May 2025,2025.0,C(2025) 9013,Margaritis Schinas,Vice-President in charge of ‘Promoting the European Way of Life’,Comillas Pontifical University,VdL I (2019-2024),Academia
1 April 2025,2025.0,C(2025) 9009,Josep Borrell i Fontelles,High Representative / Vice-President for Foreign Affairs and Security Policy,PRISA Group,VdL I (2019-2024),Consultancy / lobbying
19 March 2025,2025.0,C(2025) 9007,Věra Jourová,Vice-President for ‘Values and Transparency’,GLOBSEC,Other/Earlier,Think tank / advisory
11 March 2025,2025.0,C(2025) 9002,Josep Borrell i Fontelles,High Representative / Vice-President for Foreign Affairs and Security Policy,Barcelona Center for International Relations,VdL I (2019-2024),Other
5 February 2025,2025.0,C(2025) 9001,Josep Borrell i Fontelles,High Representative / Vice-President for Foreign Affairs and Security Policy,United Nations Economic Commission for Latin America and the Caribbean,VdL I (2019-2024),Int'l organisation
15 January 2025,2025.0,C(2025) 9000,Thierry Breton,Commissioner in charge of ‘Internal Market’,Bank of America,VdL I (2019-2024),Finance / corporate
17 December 2024,2024.0,C(2024) 9012,Josep Borrell I Fontelles,High Representative / Vice-President  for External Affairs and Security Policy,Elcano Royal Institute,VdL I (2019-2024),Think tank / advisory
11 December 2024,2024.0,C(2024) 9007,Janusz Wojciechowski,Commissioner in charge of ‘Agriculture’,Lawyer and Charity Foundation ‘Helping the Wronged’,VdL I (2019-2024),NGO / foundation
26 October 2024,2024.0,C(2024) 9002,Elisa Ferreira,Commissioner in charge of ‘Cohesion and Reform’,University of Porto,VdL I (2019-2024),Academia
17 September 2024,2024.0,C(2024) 9001,Margrethe Vestager,ExecutiveVice-President in charge of ‘A Europe fit for the Digital Age’,Technical University of Denmark,VdL I (2019-2024),Academia
20 July 2022,2022.0,C(2022) 9000,Jean-Claude Juncker,President,Federal Chancellor Helmut Kohl Foundation,Juncker (2014-2019),Public / political
8 December 2021,2021.0,C(2021) 9019,Jean-Claude Juncker,President,Academy of European Law,Juncker (2014-2019),Other
13 October 2021,2021.0,C(2021) 9018,Karmenu Vella,"Environment, Maritime Affairs and Fisheries",Malta Enterprise,Juncker (2014-2019),Other
20 July 2021,2021.0,C(2021) 9017,Cecilia Malmström,Trade,Peterson Institute for International Economics,Juncker (2014-2019),Other
6 July 2021,2021.0,C(2021) 9016,Carlos Moedas,"Research, Science and Innovation",Aga Khan University,Juncker (2014-2019),Academia
6 July 2021,2021.0,C(2021) 9015,Miguel Arias Cañete,Climate Action and Energy,Beka FinanceBalam Agriculture,Juncker (2014-2019),Finance / corporate
30 June 2021,2021.0,C(2021) 9013,Günther Oettinger,Budget and Human Resources (previously:Digital Economy and Society),EBS University of Business and Law,Juncker (2014-2019),Academia
30 June 2021,2021.0,C(2021) 9014,Violeta Bulc,Transport,Marina Portoroz,Juncker (2014-2019),Other
23 June 2021,2021.0,C(2021) 9012,Günther Oettinger,Budget and Human Resources (previously:Digital Economy and Society,EPICUR,Juncker (2014-2019),Other
8 June 2021,2021.0,C(2021) 9011,Phil Hogan,Trade,Hogan: Strategic Advisory Services (including Vodafone and Proof of Trust),VdL I (2019-2024),Consultancy / lobbying
26 May 2021,2021.0,C(2021) 9010,Miguel Arias Cañete,Climate Action and Energy,Elcano Institute,Juncker (2014-2019),Think tank / advisory
24 March 2021,2021.0,C(2021) 9005,Miguel Arias Cañete,Climate Action and Energy,Commission on the Future of Mobiity,Juncker (2014-2019),Other
24 March 2021,2021.0,C(2021) 9006,Elzbieta Bienkowska,"Internal Market, Industry, Entrepreneurship and SMEs",Commission on the Future of Mobiity,Juncker (2014-2019),Other
24 March 2021,2021.0,C(2021) 9008,Günther Oettinger,Budget and Human Resources (previously:Digital Economy and Society),Lawyer (‘Rechtsanwalt’),Juncker (2014-2019),Other
24 March 2021,2021.0,C(2021) 9009,Günther Oettinger,Budget and Human Resources (previously:Digital Economy and Society),HAM-LOG Gruppe,Juncker (2014-2019),Other
3 March 2021,2021.0,C(2021) 9007,Carlos Moedas,Research Science and innovation,Aveiro Wise Men Group,Juncker (2014-2019),Other
3 February 2021,2021.0,C(2021) 9001,Günther Oettinger,Budget and Human Resources (previously:Digital Economy and Society),Donner und Reuschel AG,Juncker (2014-2019),Finance / corporate
3 February 2021,2021.0,C(2021) 9002,Dimitris Avramopoulos,"Migration, Home Affairs and Citizenship",Association Against Impunity and for Transitional Justice,Juncker (2014-2019),NGO / foundation
3 February 2021,2021.0,C(2021) 9003,Christos Stylianides,Humanitarian Aid and Crisis Management,Review of UNICEF Supply Function,Juncker (2014-2019),Int'l organisation
3 February 2021,2021.0,C(2021) 9004,Elzbieta Bienkowska,"Internal Market, Industry, Entrepreneurship and SMEs",University of Silesia in Katowice,Juncker (2014-2019),Academia
19 January 2021,2021.0,C(2021) 9000,Violeta Bulc,Transports,Vibacom Consultancy,Juncker (2014-2019),Consultancy / lobbying
11 November 2020,2020.0,C(2020) 9044,Günther Oettinger,Budget and Human Resources (previously:Digital Economy and Society),Kekst CNC,Juncker (2014-2019),Consultancy / lobbying
11 November 2020,2020.0,C(2020) 9045,Tibor Navracsics,"Education, Culture, Youth and Sport",Hungarian Government Regional Commissioner,Juncker (2014-2019),Public / political
11 November 2020,2020.0,C(2020) 9046,Phil Hogan,Trade,London Speakers Bureau,VdL I (2019-2024),Consultancy / lobbying
28 October 2020,2020.0,C(2020) 9040,Günther Oettinger,Budget and Human Resources (previously:Digital Economy and Society),Deloitte Deutschland,Juncker (2014-2019),Finance / corporate
28 October 2020,2020.0,C(2020) 9041,Günther Oettinger,Budget and Human Resources (previously:Digital Economy and Society),Herrenknecht,Juncker (2014-2019),Other
28 October 2020,2020.0,C(2020) 9042,Vytenis Andriukaitis,Health and Food Safety,European Institute for Health and Sustainable Development,Juncker (2014-2019),NGO / foundation
28 October 2020,2020.0,C(2020) 9043,Sir Julian King,Security Union,Flint Global,Juncker (2014-2019),Consultancy / lobbying
30 September 2020,2020.0,C(2020) 9037,Günther Oettinger,Budget and Human Resources (previously:Digital Economy and Society),Oettinger Consulting,Juncker (2014-2019),Consultancy / lobbying
30 September 2020,2020.0,C(2020) 9038,Vytenis Andriukaitis,Health and Food Safety,Tuberculosis Vaccine Initiative,Juncker (2014-2019),Other
30 September 2020,2020.0,C(2020) 9039,Bienkowska,"Internal Market, Industry, Entrepreneurship and SMEs",Una Europa,Juncker (2014-2019),Int'l organisation
24 July 2020,2020.0,C(2020) 9032,Arias Cañete,Climate Action and Energy,Foundation RACE,Juncker (2014-2019),NGO / foundation
24 July 2020,2020.0,C(2020) 9033,Arias Cañete,Climate Action and Energy,Emissary of IRENA,Juncker (2014-2019),Int'l organisation
24 July 2020,2020.0,C(2020) 9034,Arias Cañete,Climate Action and Energy,Centro Español de Mediación,Juncker (2014-2019),Other
24 July 2020,2020.0,C(2020) 9035,Karmenu Vella,"Environment, Maritime Affairs and Fisheries",Weave Consulting,Juncker (2014-2019),Consultancy / lobbying
24 July 2020,2020.0,C(2020) 9036,Christos Stylianides,Humanitarian Aid and Crisis Management,University of Cyprus,Juncker (2014-2019),Academia
8 July 2020,2020.0,C(2020) 9029,Günther Oettinger,Budget and Human Resources (previously:Digital Economy and Society),Amundi Deutschland,Juncker (2014-2019),Finance / corporate
8 July 2020,2020.0,C(2020) 9030,Neven Mimica,International Cooperation and Development,Friends of the Global Fund Europe,Juncker (2014-2019),Finance / corporate
8 July 2020,2020.0,C(2020) 9031,Karmenu Vella,"Environment, Maritime Affairs and Fisheries",Advisor to Malta Government Minister,Juncker (2014-2019),Public / political
24 June 2020,2020.0,C(2020) 9028,Federica Mogherini,High Representative of the Union for Foreign Affairs and Security Policy,Friends of Europe,VdL I (2019-2024),Think tank / advisory
17 June 2020,2020.0,C(2020) 9027,Vytenis Andriukaitis,Health and Food Safety,Universal Health Coverage 2030,Juncker (2014-2019),NGO / foundation
10 June 2020,2020.0,C(2020) 9024,Federica Mogherini,High Representative of the Union for Foreign Affairs and Security Policy,International Crisis Group,VdL I (2019-2024),Other
10 June 2020,2020.0,C(2020) 9025,Günther Oettinger,Budget and Human Resources (previously:Digital Economy and Society),CG Elementum AG,Juncker (2014-2019),Other
10 June 2020,2020.0,C(2020) 9026,Vytenis Andriukaitis,Health and Food Safety,World Health Organization,Juncker (2014-2019),NGO / foundation
27 May 2020,2020.0,C(2020) 9022,Karmenu Vella,"Environment, Maritime Affairs and Fisheries",Ocean UniteSustainable Ocean AllianceTreelion Foundation,Juncker (2014-2019),NGO / foundation
27 May 2020,2020.0,C(2020) 9023,Karmenu Vella,"Environment, Maritime Affairs and Fisheries",University of  Malta,Juncker (2014-2019),Academia
6 May 2020,2020.0,C(2020) 9019,Günther Oettinger,Budget and Human Resources (previously:Digital Economy and Society),Publishing co-operation withDvH Medien,Juncker (2014-2019),Other
6 May 2020,2020.0,C(2020) 9020,Christos Stylianides,Humanitarian Aid and Crisis Management,Eratosthenes Centre of Excellence,Juncker (2014-2019),Other
6 May 2020,2020.0,C(2020) 9021,Christos Stylianides,Humanitarian Aid and Crisis Management,Educational Outcomes Fund,Juncker (2014-2019),Finance / corporate
29 April 2020,2020.0,C(2020) 9016,Günther Oettinger,Budget and Human Resources (previously:Digital Economy and Society),London Speakers Bureau,Juncker (2014-2019),Consultancy / lobbying
29 April 2020,2020.0,C(2020) 9017,Cecilia Malmström,Trade,University of Gothenburg,Juncker (2014-2019),Academia
29 April 2020,2020.0,C(2020) 9018,Tibor Navracsics,"Education, Culture, Youth and Sport",National University of Public Services,Juncker (2014-2019),Academia
22 April 2020,2020.0,C(2020) 9013,Federica Mogherini,High Representative of the Union for Foreign Affairs and Security Policy,Application for Rector of the College of Europe,VdL I (2019-2024),Academia
22 April 2020,2020.0,C(2020) 9014,Günther Oettinger,Budget and Human Resources (previously:Digital Economy and Society),Stiftung Ordnungspolitik /Centrum für Europäische Politik,Juncker (2014-2019),Other
22 April 2020,2020.0,C(2020) 9015,Sir Julian King,Security Union,Royal United Services Institute,Juncker (2014-2019),Other
8 April 2020,2020.0,C(2020) 9009,Jean-Claude Juncker,President,European Policy Centre,Juncker (2014-2019),Other
8 April 2020,2020.0,C(2020) 9010,Jean-Claude Juncker,President,London Speakers Bureau,Juncker (2014-2019),Consultancy / lobbying
8 April 2020,2020.0,C(2020) 9011,Jean-Claude Juncker,President,Fondation AME,Juncker (2014-2019),Other
8 April 2020,2020.0,C(2020) 9012,Federica Mogherini,High Representative of the Union for Foreign Affairs and Security Policy,UN High-Level Panel on Internal Displacement,VdL I (2019-2024),Other
18 March 2020,2020.0,C(2020) 9008,Karmenu Vella,"Environment, Maritime Affairs and Fisheries",Malta Airport Foundation,Juncker (2014-2019),NGO / foundation
4 March 2020,2020.0,C(2020) 9007,Sir Julian King,Security Union,Oxford Internet Institute,Juncker (2014-2019),Other
26 February 2020,2020.0,C(2020) 9006,Günther Oettinger,Budget and Human Resources (previously:Digital Economy and Society),United EuropeDeutsche Gesellschaft für Auswärtige PolitikLandesmuseum Württemberg,Juncker (2014-2019),Other
26 February 2020,2020.0,C(2020) 9005,Tibor Navracsics,"Education, Culture, Youth and Sport",Veszprém-Balaton – European Capital of Culture 2023,Juncker (2014-2019),Finance / corporate
19 February 2020,2020.0,C(2020) 9004,Jean-Claude Juncker,President,Friends of Europe,Juncker (2014-2019),Think tank / advisory
19 February 2020,2020.0,C(2020) 9003,Christos Stylianides,Humanitarian Aid and Crisis Management,Ruhr Universität Bochum Research School,Juncker (2014-2019),Academia
5 February 2020,2020.0,C(2020) 9002,Jean-Claude Juncker,President,Notre Europe / Institut Jacques Delors,Juncker (2014-2019),Other
5 February 2020,2020.0,C(2020) 9000,Marianne Thyssen,"Employment, Social Affairs, Skills and Labour Mobility",University of Leuven,Juncker (2014-2019),Academia
,,,,,,Other/Earlier,Other
,,,,,,Other/Earlier,Other
5 February 2020,2020.0,C(2020) 9001,Carlos Moedas,Research Science and innovation,Paris Institute of Political Studies (‘Sciences Po’),Juncker (2014-2019),Other
17 December 2019,2019.0,C(2019) 9005,Federica Mogherini,High Representative of the Union for Foreign Affairs and Security Policy,College of Europe,VdL I (2019-2024),Academia
17 December 2019,2019.0,C(2019) 9006,Pierre Moscovici,"Economic and Financial Affairs, Taxation and Customs","Columbia University, Sciences-Po, College of Europe",Juncker (2014-2019),Academia
17 December 2019,2019.0,C(2019) 9007,Christos Stylianides,Humanitarian Aid and Crisis Management,University of Nicosia Medical School,Juncker (2014-2019),Academia
17 December 2019,2019.0,C(2019) 9008,Carlos Moedas,"Research, Science and Innovation",University College London,Juncker (2014-2019),Academia
11 December 2019,2019.0,C(2019) 9004,Carlos Moedas,"Research, Science and Innovation",Gulbenkian Foundation,Juncker (2014-2019),NGO / foundation
26 November 2019,2019.0,C(2019) 9003,Carlos Moedas(Serving Member of the Commission),"Research, Science and Innovation",Notre Europe / Institut Jacques Delors,Juncker (2014-2019),Other
13 November 2019 - 2315th meeting,2019.0,C(2019) 9000,Christos Stylianides(Serving Member of the Commission,Humanitarian Aid and Crisis Management,London School of Economics and Political Science,Juncker (2014-2019),Academia
13 November 2019 - 2315th meeting,2019.0,C(2019) 9001,Tibor Navracsics(Serving Member of the Commission,"Education, Culture, Youth and Sport",Eötvös Loránd University,Juncker (2014-2019),Academia
13 November 2019 - 2315th meeting,2019.0,C(2019) 9002,Carlos Moedas(Serving Member of the Commission),"Research, Science and Innovation",UNESCO – “Futures of Education” Initiative,Juncker (2014-2019),Int'l organisation
30 October 2019  -  2313th meeting,2019.0,C(2019) 7540,Jyrki Katainen(Serving Member of the Commission,"Jobs, Growth, Investment and Competitiveness",SITRA- Finnish Innovation Fund,Other/Earlier,Finance / corporate
29 March 2017,2017.0,,Jonathan Hill,"Financial Stability, Financial Services, Capital Markets Union",Freshfields.The Times Newspapers.,Juncker (2014-2019),Other
9 November 2016,2016.0,,Kristalina Georgieva(Serving member of the Commission),Budget and human resources,"Chief Executive Officer of the World Bank, as from 02.01.2017",Other/Earlier,Finance / corporate
28 September 2016,2016.0,,Jonathan Hill,"Financial stability, financial services and capital markets union","Contract with 'Chartwell Speakers and Literary Agency',House of Lords",Juncker (2014-2019),Other
20 April 2016,2016.0,,Joaquín Almunia,Competition,Aristide Merloni Foundation,Juncker (2014-2019),NGO / foundation
,,,Tonio Borg,Health and consumer policy,European Medicines Agency,Other/Earlier,Other
19 January 2016,2016.0,,Stefan Füle,Enlargement and European neighbourhood policy,4 NGOs and Czech Ministry of Foreign Affairs,Other/Earlier,NGO / foundation
11 November 2015,2015.0,,Joaquín Almunia,Competition,Paris School of International Affairs (PSIA) of Sciences Po (Paris),Juncker (2014-2019),Academia
14 October 2015,2015.0,,Dacian Cioloş,Agriculture and rural development,International Food Policy Research Institute,Other/Earlier,Other
,,,Tonio Borg,Health and consumer policy,1 academic activity,Other/Earlier,Other
16 September 2015,2015.0,,Baroness Catherine Ashton,High Representative for Foreign Affairs and Security Policy,"Intermediate, 1 academic activity",Other/Earlier,Other
,,,Máire Geoghegan-Quinn,Research and innovation,Trinity College,Other/Earlier,Academia
15 July 2015,2015.0,,Joaquín Almunia,Competition,"Participation in a study with the European House / Ambrosetti, Center for European Policy Studies",Juncker (2014-2019),Other
24 June 2015,2015.0,,Máire Geoghegan-Quinn,Research and innovation,Review of gender equality in Irish higher education institutions,Other/Earlier,Other
9 June 2015,2015.0,,Andris Piebalgs,Development,Research felllowship,Juncker (2014-2019),Other
,,,Dacian Cioloş,Agriculture and rural development,Participation to an event organised by the International Economic Forum,Other/Earlier,Think tank / advisory
13 May 2015,2015.0,,Viviane Reding,"Justice, fundamental rights, citizenship",Mouvement Européen,Juncker (2014-2019),Other
28 April 2015,2015.0,,Neelie Kroes,Digital agenda,Open-Data Institute,Other/Earlier,Other
15 April 2015,2015.0,,José Manuel Barroso,President,"Palais des Beaux-Arts (Brussels), 1 academic activity",Juncker (2014-2019),Other
,,,Baroness Catherine Ashton,High Representative for Foreign Affairs and Security Policy,"House of Lords, Oslo Forum, 2 academic activities",Other/Earlier,Think tank / advisory
,,,Siim Kallas,Transport,Nortal,Other/Earlier,Other
,,,Janez Potocnik,Environment,"Committee ""A vision for Europe towards sustainable and circular economy"", Critical Ecosystem Partnership Fund",Other/Earlier,Finance / corporate
,,,Karel De Gucht,Trade,CVC Capital Partners,Other/Earlier,Finance / corporate
,,,Máire Geoghegan-Quinn,Research and innovation,High level group on industrial innovation for competitiveness,Other/Earlier,Other
18 March 2015,2015.0,,Siim Kallas,Transport,1 academic activity,Other/Earlier,Other
,,,Janez Potocnik,Environment,"Rural Investment Support for Europe Foundation, Global Alliance on Health and Pollution",Other/Earlier,Finance / corporate
,,,Androulla Vassiliou,"Education, culture, multilingualism and youth","Cyprus Research and Educational Foundation, European University Institute",Other/Earlier,Academia
,,,Karel De Gucht,Trade,"Institute for European Studies of the Vrije Universiteit Brussel, Belgacom, Merit Capital NV, 1 academic activity",Other/Earlier,Academia
18 February 2015,2015.0,,Viviane Reding,"Justice, Fundamental Rights, Citizenship",Global Economic Symposium,Juncker (2014-2019),Other
,,,Joaquín Almunia,Competition,"Notre Europe, Friends of Europe, European Policy Center, Center for European Reform, Foundation for European Progressive Studies, contract for participation in conferences and events, 5 academic activities",Juncker (2014-2019),Think tank / advisory
10 February 2015,2015.0,,Siim Kallas,Transport,1 academic activity,Other/Earlier,Other
4 February 2015,2015.0,,Neelie Kroes,Digital agenda,Bank of America Merrill Lynch,Other/Earlier,Finance / corporate
28 January 2015,2015.0,,Baroness Catherine Ashton,High Representative for Foreign Affairs and Security Policy,Academic lectures,Other/Earlier,Other
,,,Andris Piebalgs,Development,Friends of Europe,Juncker (2014-2019),Think tank / advisory
,,,Androulla Vassiliou,"Education, culture, multilingualism and youth","Friends of Europe, Bank of Cyprus Oncologic Center",Other/Earlier,Finance / corporate
,,,Dacian Cioloş,Agriculture and rural development,Brainstorming organised by the World Bank,Other/Earlier,Finance / corporate
21 January 2015,2015.0,,José Manuel Barroso,President,"4 academic activities, 1 honorary activity",Juncker (2014-2019),Other
,,,Jacek Dominik,Financial programming and budget,Counsellor General at the Polish Ministry of Finance,Other/Earlier,Finance / corporate
13 January 2015,2015.0,,Andris Piebalgs,Development,Advisor to the Latvian President,Juncker (2014-2019),Other
,,,Maria Damanaki,Fisheries and maritime affairs,The Nature Conservancy,Other/Earlier,Other
16 December 2014,2014.0,,José Manuel Barroso,President,"Institute of Public Policy (Belgrade), Europaeum, Bilderberg Conferences, McDonough School of Business, UEFA Foundation for Children",Juncker (2014-2019),Academia
,,,Viviane Reding,"Justice, Fundamental Rights, Citizenship","Speaking engagements, UEFA Fondation UEFA pour l'Enfance",Juncker (2014-2019),Consultancy / lobbying
,,,Neelie Kroes,Digital agenda,Special envoy for start-Up companies,Other/Earlier,Other
,,,Connie Hedegaard,Climate action,"Kann Foundation, Public Service Committee (Danish Ministry of Culture), Regions 20, OECD Round Table for Sustainable Development, 1 academic activity",Other/Earlier,Int'l organisation
,,,László Andor,"Employment, social affairs and inclusion","Friends of Europe, European Policy Center, RAND Europe, Institute of Political History, DIKTIO Network, 1 academic activity, 1 research activity",Other/Earlier,Think tank / advisory
10 December 2014,2014.0,,Viviane Reding,"Justice, fundamental rights, citizenship",Agfa-Gevaert,Juncker (2014-2019),Other
,,,Janez Potocnik,Environment,"Forum for the future of agriculture, European Policy Center, UN International Resource Panel, 1-off participations in conferences",Other/Earlier,Think tank / advisory
,,,Andris Piebalgs,Development,"1 academic activity, Global Fund Europe",Juncker (2014-2019),Finance / corporate
3 December 2014,2014.0,,José Manuel Barroso,President,"Opera of Madrid, Women in Parliament, 4 honorary activities",Juncker (2014-2019),Public / political
25 November 2014,2014.0,,Algirdas Semeta,"Taxation and customs union, audit and anti-fraud",Ukraine Business Ombudsman,Other/Earlier,Other
5 November 2014,2014.0,,José Manuel Barroso,President,"Ad hoc engagement with the World Economic Forum, academic lectures, speaking arrangements",Juncker (2014-2019),Think tank / advisory
29 October 2014,2014.0,,Viviane Reding,"Justice, fundamental rights, citizenship","Fondation Bertelsmann, Nyrstar",Juncker (2014-2019),Other
,,,Ferdinando Nelli Feroci,Industry and entrepreneurship,"Istituto Affari Internazionali, Société financière SIMEST",Other/Earlier,Other
