name,commission,institution,institution_norm
Günter Verheugen,Barroso I,University of Cologne,University of Cologne
Günter Verheugen,Barroso I,University of Bonn,University of Bonn
Jacques Barrot,Barroso I,Sciences Po,Sciences Po (Paris / IEP)
Siim Kallas,Barroso I,University of Tartu,University of Tartu
Siim Kallas,Barroso I,Jakob Westholm Gymnasium,Jakob Westholm Gymnasium
Franco Frattini,Barroso I,Sapienza University of Rome,Sapienza University Rome
Viviane Reding,Barroso I,University of Paris,University of Paris (Sorbonne)
Viviane Reding,Barroso I,Lycée Hubert Clément,Lycée Hubert Clément
Stavros Dimas,Barroso I,New York University,New York University
Stavros Dimas,Barroso I,National and Kapodistrian University of Athens,Athens / EKPA
Stavros Dimas,Barroso I,New York University School of Law,New York University School of Law
Stavros Dimas,Barroso I,Varvakeio,Varvakeio
Stavros Dimas,Barroso I,Athens College,Athens College
Joaquín Almunia,Barroso I,John F. Kennedy School of Government,Harvard University
Joaquín Almunia,Barroso I,University of Paris,University of Paris (Sorbonne)
Joaquín Almunia,Barroso I,University of Deusto,University of Deusto
Danuta Hübner,Barroso I,SGH Warsaw School of Economics,SGH Warsaw
Danuta Hübner,Barroso I,X LO im. Królowej Jadwigi in Warsaw,X LO im. Królowej Jadwigi in Warsaw
Joe Borg,Barroso I,Aberystwyth University,Aberystwyth University
Dalia Grybauskaitė,Barroso I,Walsh School of Foreign Service,Walsh School of Foreign Service
Dalia Grybauskaitė,Barroso I,Georgetown University,Georgetown University
Dalia Grybauskaitė,Barroso I,Economics Faculty of Saint Petersburg State University,Economics Faculty of Saint Petersburg State University
Janez Potočnik,Barroso I,University of Ljubljana,University of Ljubljana
Ján Figeľ,Barroso I,Technical University of Košice,Technical University of Košice
Markos Kyprianou,Barroso I,Harvard Law School,Harvard University
Markos Kyprianou,Barroso I,Trinity College,Trinity College
Markos Kyprianou,Barroso I,National and Kapodistrian University of Athens,Athens / EKPA
Olli Rehn,Barroso I,University of Helsinki,University of Helsinki
Olli Rehn,Barroso I,Macalester College,Macalester College
Olli Rehn,Barroso I,St Antony's College,St Antony's College
Louis Michel,Barroso I,École polytechnique,Polytechnique
László Kovács,Barroso I,Corvinus University of Budapest,Corvinus Budapest
László Kovács,Barroso I,MSZMP Political College,MSZMP Political College
Neelie Kroes,Barroso I,Erasmus University Rotterdam,Erasmus University Rotterdam
Neelie Kroes,Barroso I,University of Hull,University of Hull
Benita Ferrero-Waldner,Barroso I,University of Salzburg,University of Salzburg
Charlie McCreevy,Barroso I,University College Dublin,University College Dublin
Charlie McCreevy,Barroso I,Naas C.B.S.,Naas C.B.S.
Vladimír Špidla,Barroso I,Charles University,Charles University Prague
Peter Mandelson,Barroso I,St Catherine's College,St Catherine's College
Peter Mandelson,Barroso I,Hendon School,Hendon School
Meglena Kuneva,Barroso I,University of Oxford,Oxford University
Meglena Kuneva,Barroso I,Sofia University,Sofia University
Leonard Orban,Barroso I,Bucharest University of Economic Studies,Bucharest University of Economic Studies
Leonard Orban,Barroso I,Transilvania University of Brașov,Transilvania University of Brașov
Antonio Tajani,Barroso I,Sapienza University of Rome,Sapienza University Rome
Algirdas Šemeta,Barroso I,Vilnius University,Vilnius University
Catherine Ashton,Barroso II,Bedford College,Bedford College
Catherine Ashton,Barroso II,Winstanley College,Winstanley College
Maroš Šefčovič,Barroso II,Comenius University,Comenius University
Maroš Šefčovič,Barroso II,Moscow State Institute of International Relations,MGIMO (Moscow)
Maroš Šefčovič,Barroso II,University of Economics in Bratislava,University of Economics in Bratislava
Karel De Gucht,Barroso II,Vrije Universiteit Brussel,Vrije Universiteit Brussel
Karel De Gucht,Barroso II,Free University of Brussels,Free University Brussels (ULB)
Štefan Füle,Barroso II,Charles University,Charles University Prague
Štefan Füle,Barroso II,Moscow State Institute of International Relations,MGIMO (Moscow)
Günther Oettinger,Barroso II,University of Tübingen,University of Tübingen
Günther Oettinger,Barroso II,Gymnasium Korntal-Münchingen,Gymnasium Korntal-Münchingen
Johannes Hahn,Barroso II,University of Vienna,University of Vienna
Johannes Hahn,Barroso II,Theresianum,Theresianum
Maria Damanaki,Barroso II,National Technical University of Athens,Athens / EKPA
Dacian Cioloș,Barroso II,University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca,University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca
Dacian Cioloș,Barroso II,École nationale supérieure agronomique de Montpellier,École nationale supérieure agronomique de Montpellier
Kristalina Georgieva,Barroso II,University of National and World Economy,University of National and World Economy
Connie Hedegaard,Barroso II,University of Copenhagen,University of Copenhagen
John Dalli,Barroso II,Benjamin N. Cardozo School of Law,Benjamin N. Cardozo School of Law
Tonio Borg,Barroso II,University of Malta,University of Malta
Tonio Borg,Barroso II,St Aloysius' College,St Aloysius' College
Máire Geoghegan-Quinn,Barroso II,Carysfort College,Carysfort College
László Andor,Barroso II,University of Manchester,University of Manchester
László Andor,Barroso II,Corvinus University of Budapest,Corvinus Budapest
László Andor,Barroso II,Zalaegerszegi Zrínyi Miklós Gimnázium,Zalaegerszegi Zrínyi Miklós Gimnázium
Cecilia Malmström,Barroso II,University of Gothenburg,University of Gothenburg
Cecilia Malmström,Barroso II,University of Paris 1 Pantheon-Sorbonne,University of Paris (Sorbonne)
Cecilia Malmström,Barroso II,Schillerska gymnasiet,Schillerska gymnasiet
Andris Piebalgs,Barroso II,University of Latvia,University of Latvia
Michel Barnier,Barroso II,ESCP Business School,ESCP Business School
Neven Mimica,Barroso II,"Faculty of Economics and Business, University of Zagreb","Faculty of Economics and Business, University of Zagreb"
Jean-Claude Juncker,Juncker,University of Strasbourg,University of Strasbourg
Jean-Claude Juncker,Juncker,Lycée Michel-Rodange,Lycée Michel-Rodange
Frans Timmermans,Juncker,Radboud University,Radboud University
Frans Timmermans,Juncker,Nancy-Université,Nancy-Université
Frans Timmermans,Juncker,Bernardinuscollege,Bernardinuscollege
Frans Timmermans,Juncker,University Nancy II,University Nancy II
Frans Timmermans,Juncker,University of Lorraine,University of Lorraine
Frans Timmermans,Juncker,St. George's British International School,St. George's British International School
Federica Mogherini,Juncker,Sciences Po Aix-en-Provence,Sciences Po (Paris / IEP)
Jyrki Katainen,Juncker,University of Tampere,University of Tampere
Valdis Dombrovskis,Juncker,Johannes Gutenberg University Mainz,Johannes Gutenberg University Mainz
Valdis Dombrovskis,Juncker,Riga Technical University,Riga Technical University
Valdis Dombrovskis,Juncker,University of Latvia,University of Latvia
Valdis Dombrovskis,Juncker,University of Maryland,University of Maryland
Andrus Ansip,Juncker,University of Tartu,University of Tartu
Andrus Ansip,Juncker,Estonian University of Life Sciences,Estonian University of Life Sciences
Andrus Ansip,Juncker,York University,York University
Jonathan Hill,Juncker,Architectural Association School of Architecture,Architectural Association School of Architecture
Jonathan Hill,Juncker,The Bartlett,The Bartlett
Pierre Moscovici,Juncker,École nationale d'administration,ENA (École nationale d'admin)
Pierre Moscovici,Juncker,Sciences Po,Sciences Po (Paris / IEP)
Pierre Moscovici,Juncker,Lycée Condorcet,Lycée Condorcet
Marianne Thyssen,Juncker,Katholieke Universiteit Leuven,KU Leuven
Dimitris Avramopoulos,Juncker,Boston University,Boston University
Dimitris Avramopoulos,Juncker,National and Kapodistrian University of Athens,Athens / EKPA
Dimitris Avramopoulos,Juncker,Free University of Brussels,Free University Brussels (ULB)
Vytenis Andriukaitis,Juncker,Vilnius University,Vilnius University
Elżbieta Bieńkowska,Juncker,Jagiellonian University,Jagiellonian University
Elżbieta Bieńkowska,Juncker,SGH Warsaw School of Economics,SGH Warsaw
Elżbieta Bieńkowska,Juncker,National School of Public Administration,National School of Public Administration
Elżbieta Bieńkowska,Juncker,IV High School of Stanislaw Staszic in Sosnowiec,IV High School of Stanislaw Staszic in Sosnowiec
Miguel Arias Cañete,Juncker,Complutense University of Madrid,Complutense Madrid
Miguel Arias Cañete,Juncker,Our Lady of Remembrance College,Our Lady of Remembrance College
Violeta Bulc,Juncker,University of Ljubljana,University of Ljubljana
Violeta Bulc,Juncker,Golden Gate University,Golden Gate University
Karmenu Vella,Juncker,University of Malta,University of Malta
Karmenu Vella,Juncker,Sheffield Hallam University,Sheffield Hallam University
Tibor Navracsics,Juncker,Eötvös Loránd University,Eötvös Loránd University
Tibor Navracsics,Juncker,ELTE Faculty of Law,ELTE Faculty of Law
Phil Hogan,Juncker,University College Cork,University College Cork
Phil Hogan,Juncker,St Kieran's College,St Kieran's College
Christos Stylianides,Juncker,John F. Kennedy School of Government,Harvard University
Christos Stylianides,Juncker,Aristotle University of Thessaloniki,Aristotle University of Thessaloniki
Carlos Moedas,Juncker,Harvard University,Harvard University
Carlos Moedas,Juncker,Harvard Business School,Harvard University
Carlos Moedas,Juncker,École Nationale des Ponts et Chaussées,École Nationale des Ponts et Chaussées
Carlos Moedas,Juncker,University of Lisbon,University of Lisbon
Carlos Moedas,Juncker,Instituto Superior Técnico,Instituto Superior Técnico
Corina Crețu,Juncker,Bucharest University of Economic Studies,Bucharest University of Economic Studies
Věra Jourová,Juncker,"Faculty of Law, Charles University in Prague",Charles University Prague
Ursula von der Leyen,VdL I,University of Göttingen,University of Göttingen
Ursula von der Leyen,VdL I,University of Münster,University of Münster
Ursula von der Leyen,VdL I,London School of Economics and Political Science,LSE
Ursula von der Leyen,VdL I,Hannover Medical School,Hannover Medical School
Ursula von der Leyen,VdL I,"European School, Brussels I","European School, Brussels I"
Dubravka Šuica,VdL I,"Faculty of Humanities and Social Sciences, University of Zagreb","Faculty of Humanities and Social Sciences, University of Zagreb"
Nicolas Schmit,VdL I,Sciences Po Aix-en-Provence,Sciences Po (Paris / IEP)
Nicolas Schmit,VdL I,Paul Cézanne University,Paul Cézanne University
Paolo Gentiloni,VdL I,Sapienza University of Rome,Sapienza University Rome
Janusz Wojciechowski,VdL I,University of Łódź,University of Łódź
Elisa Ferreira,VdL I,University of Porto,University of Porto
Elisa Ferreira,VdL I,University of Reading,University of Reading
Stella Kyriakides,VdL I,University of Manchester,University of Manchester
Stella Kyriakides,VdL I,"Institute of Psychiatry, Psychology and Neuroscience","Institute of Psychiatry, Psychology and Neuroscience"
Stella Kyriakides,VdL I,University of Reading,University of Reading
Didier Reynders,VdL I,University of Liège,University of Liège
Helena Dalli,VdL I,University of Malta,University of Malta
Ylva Johansson,VdL I,Lund University,Lund University
Ylva Johansson,VdL I,Stockholm Institute of Education,Stockholm Institute of Education
Janez Lenarčič,VdL I,University of Ljubljana,University of Ljubljana
Olivér Várhelyi,VdL I,University of Szeged,University of Szeged
Jutta Urpilainen,VdL I,University of Jyväskylä,University of Jyväskylä
Kadri Simson,VdL I,University College London,UCL
Kadri Simson,VdL I,University of Tartu,University of Tartu
Mairead McGuinness,VdL I,University College Dublin,University College Dublin
Mairead McGuinness,VdL I,Ardee Community School,Ardee Community School
Iliana Ivanova,VdL I,University of Economics - Varna,University of Economics - Varna
Wopke Hoekstra,VdL I,Leiden University,Leiden University
Thierry Breton,VdL I,Lycée Louis-le-Grand,Lycée Louis-le-Grand
Thierry Breton,VdL I,École alsacienne,École alsacienne
Thierry Breton,VdL I,CentraleSupélec,CentraleSupélec
Mariya Gabriel,VdL I,Institut d'études politiques de Bordeaux,Sciences Po (Paris / IEP)
Mariya Gabriel,VdL I,Plovdiv University,Plovdiv University
Virginijus Sinkevičius,VdL I,Aberystwyth University,Aberystwyth University
Virginijus Sinkevičius,VdL I,Maastricht University,Maastricht University
Adina-Ioana Vălean,VdL I,University of Bucharest,University of Bucharest
Kaja Kallas,VdL II,University of Tartu,University of Tartu
Kaja Kallas,VdL II,Lawrence University,Lawrence University
Kaja Kallas,VdL II,Tallinn English College,Tallinn English College
Kaja Kallas,VdL II,Estonian Business School,Estonian Business School
Kaja Kallas,VdL II,Tallinn Lilleküla Gymnasium,Tallinn Lilleküla Gymnasium
Teresa Ribera,VdL II,Complutense University of Madrid,Complutense Madrid
Teresa Ribera,VdL II,Center for Political and Constitutional Studies,Center for Political and Constitutional Studies
Henna Virkkunen,VdL II,University of Jyväskylä,University of Jyväskylä
Stéphane Séjourné,VdL II,University of Poitiers,University of Poitiers
Roxana Mînzatu,VdL II,University of Bucharest,University of Bucharest
Roxana Mînzatu,VdL II,Dimitrie Cantemir Christian University,Dimitrie Cantemir Christian University
Raffaele Fitto,VdL II,University of Bari,University of Bari
Apostolos Tzitzikostas,VdL II,University College London,UCL
Apostolos Tzitzikostas,VdL II,Georgetown University,Georgetown University
Magnus Brunner,VdL II,King's College London,King's College London
Magnus Brunner,VdL II,FernUniversität in Hagen,FernUniversität in Hagen
Magnus Brunner,VdL II,University of Innsbruck,University of Innsbruck
Magnus Brunner,VdL II,Collegium Bernardi,Collegium Bernardi
Magnus Brunner,VdL II,The Dickson Poon School of Law,The Dickson Poon School of Law
Ekaterina Zaharieva,VdL II,École nationale d'administration,ENA (École nationale d'admin)
Ekaterina Zaharieva,VdL II,Plovdiv University,Plovdiv University
Christophe Hansen,VdL II,Louis Pasteur University,Louis Pasteur University
Piotr Serafin,VdL II,SGH Warsaw School of Economics,SGH Warsaw
Piotr Serafin,VdL II,"Faculty of Law and Administration, University of Warsaw","Faculty of Law and Administration, University of Warsaw"
Jessika Roswall,VdL II,Uppsala University,Uppsala University
Maria Luís Albuquerque,VdL II,Technical University of Lisbon,Technical University of Lisbon
Hadja Lahbib,VdL II,Université libre de Bruxelles,Free University Brussels (ULB)
Glenn Micallef,VdL II,University of Malta,University of Malta
Jozef Síkela,VdL II,Prague University of Economics and Business,Prague University of Economics and Business
Andrius Kubilius,VdL II,Vilnius University,Vilnius University
